id,transaction_id,previous_obs,new_obs,created_at
1,TEMP-1774609816188,46,45,2026-03-27 16:40:16
2,TEMP-1774609843440,45,43,2026-03-27 16:40:43
3,TY1774609867747,43,42,2026-03-27 16:41:09
4,TY1774609894830,42,37,2026-03-27 16:41:38
5,TEMP-1774610130919,97,92,2026-03-27 16:45:30
6,TY1774610157872,92,89,2026-03-27 16:45:59
7,TEMP-1774610225732,16,15,2026-03-27 16:47:05
8,TY1774610255091,15,13,2026-03-27 16:47:36
9,TEMP-1774610348892,25,24,2026-03-27 16:49:08
10,TEMP-1774610348899,24,20,2026-03-27 16:49:08
11,TY1774610389463,20,19,2026-03-27 16:50:25
12,TY1774610424022,19,17,2026-03-27 16:50:25
13,TY1774611896271,10,9,2026-03-27 17:15:32
14,TY1774611926999,9,8,2026-03-27 17:15:32
