id,description,indian_pattern,category,equipment_system,obs_authorised,obs_held,box_no
2,Telephone 123,IN-TELE-STD-001,P,CGT,50,102,"[{""no"":""001"",""qn"":25,""qtyHeld"":39,""location"":""AER Workshop"",""qnMain"":30,""baseQn"":20,""baseMaintainedQty"":25,""incDecQty"":""5""},{""no"":""002"",""qn"":25,""qtyHeld"":2,""location"":""FWD SPTA"",""qnMain"":30,""baseQn"":20,""baseMaintainedQty"":25,""incDecQty"":""5""}]"
3,TORQUE WRENCH,HJLJLBBBBBNNMMLL,C,CGT,17,18,"[{""boxNumber"":"""",""quantity"":"""",""qn"":""17"",""qtyHeld"":""18"",""no"":""R001"",""location"":""Reserved Room1"",""qnMain"":""5""}]"
4,TORQUE WRENCH,EM-867-67564MJOK,R,CGT,25,12,"[{""boxNumber"":"""",""quantity"":"""",""qn"":""10"",""no"":""R001"",""qtyHeld"":""5"",""location"":""AER WORKSHOP"",""qnMain"":""12""},{""no"":""R002"",""qn"":""10"",""qtyHeld"":""3"",""location"":""  FWD SPTA"",""qnMain"":""0""},{""no"":""R0032"",""qn"":""5"",""qtyHeld"":""4"",""location"":""acas"",""qnMain"":""0""}]"
5,TORQUE WRENCH, F FDFDBFBGFB,P,CGT,45,28,"[{""no"":""R001"",""qn"":45,""qtyHeld"":""28"",""location"":""Reserved Room1"",""qnMain"":40,""baseQn"":30,""baseMaintainedQty"":25,""incDecQty"":""15""}]"
6,TORQUE WRENCH,,R,CGT,10,10,"[{""boxNumber"":"""",""quantity"":"""",""no"":""001"",""qn"":""5"",""qtyHeld"":""5"",""location"":""NEW LOCATION"",""qnMain"":""15""},{""no"":""002"",""qn"":""5"",""qtyHeld"":""5"",""location"":""LOCATION 1"",""qnMain"":""15""}]"
8,TORQUE WRENCH,,R,CGT,10,10,"[{""boxNumber"":"""",""quantity"":"""",""no"":""001"",""qn"":""5"",""qtyHeld"":""0"",""location"":""RACK-A""},{""no"":""002"",""qn"":""2"",""qtyHeld"":""10"",""location"":""RACK-B""},{""no"":""003"",""qn"":""3"",""qtyHeld"":""0"",""location"":""RACK-C""}]"
9,TORQUE WRENCH,,C,CGT,9,5,"[{""no"":""001"",""qn"":""5"",""qtyHeld"":""3"",""location"":""FWD SPTA""},{""no"":""002"",""qn"":""4"",""qtyHeld"":""2"",""location"":""RACK-A""}]"
10,TORQUE WRENCH,CGCCJHJ,LP,CGT,100,19,"[{""no"":""R001"",""qn"":100,""qtyHeld"":""19"",""location"":""RACK-A"",""baseQn"":100,""baseMaintainedQty"":91,""incDecQty"":"""",""qnMain"":91}]"
11,TORQUE WRENCH,,P,CGT,90,7,"[{""no"":""001"",""qn"":90,""qnMain"":85,""qtyHeld"":""80"",""location"":""RACK-A"",""baseQn"":85,""baseMaintainedQty"":80,""incDecQty"":""5""}]"
12,TORQUE WRENCH,XZDBFDJGTF,LP,CGT,60,10,"[{""no"":""001"",""qn"":60,""qnMain"":60,""qtyHeld"":""12"",""location"":""FWD SPTA"",""baseQn"":35,""baseMaintainedQty"":35,""incDecQty"":""25""}]"
13,TORQUE WRENCH,YUIU,P,CGT,10,100,"[{""no"":""R100"",""qn"":""10"",""qtyHeld"":""100"",""location"":""FWD SPTA"",""qnMain"":""50""}]"
14,TORQUE WRENCH,ZVFDJTJK,R,CGT,40,5,"[{""no"":""R001258"",""qn"":40,""qtyHeld"":""5"",""location"":""FWD SPTA"",""baseQn"":40,""baseMaintainedQty"":0,""incDecQty"":"""",""qnMain"":0}]"
15,THROTTLE COCK UNIT 1,INTELESTD,P,CGT,50,99,"[{""no"":""Rabc01"",""qn"":""50"",""qtyHeld"":99,""location"":""AER Workshop""}]"
16,TELEPHONE 123,IN-TELE-STD-001,P,CGT,10,25,"[{""no"":""R001"",""qn"":""10"",""qtyHeld"":""25"",""location"":""RACK-B"",""qnMain"":""10""}]"
17,TELEPHONE3333333,IN-TELE-STD-001,P,CGT,50,35,"[{""no"":""R001"",""qn"":""25"",""qtyHeld"":""15"",""location"":""FWD SPTA""},{""no"":""R002"",""qn"":""25"",""qtyHeld"":""20"",""location"":""RACK-A""}]"
21,HYDRAULIC PUMP MANUAL,IN-TELE-STD-001,P,BGT,55,45,"[{""no"":""R001"",""qn"":""30"",""qtyHeld"":""35"",""location"":""AER Workshop"",""qnMain"":""10""},{""no"":""R002"",""qn"":""25"",""qtyHeld"":""10"",""location"":""FWD SPTA"",""qnMain"":""15""}]"
22,NEW ITEM DESC,IN-TELE-STD-001,P,DGG,20,82,"[{""no"":""R001"",""qn"":10,""qtyHeld"":""32"",""location"":""FWD SPTA"",""qnMain"":""15"",""baseQn"":10,""baseMaintainedQty"":-5,""incDecQty"":""""},{""no"":""R002"",""qn"":10,""qtyHeld"":""50"",""location"":""AER Workshop"",""qnMain"":""10"",""baseQn"":10,""baseMaintainedQty"":0,""incDecQty"":""""}]"
23,AD HYDRAULIC PUMP,IN-TELE-STD-001,P,BGT,60,37,"[{""no"":""R001"",""qn"":""32"",""qtyHeld"":""17"",""location"":""Reserved Room1"",""baseQn"":34,""incDecQty"":""3"",""qnMain"":40,""baseMaintainedQty"":37},{""no"":""R002"",""qn"":28,""qtyHeld"":""20"",""location"":""FWD SPTA"",""baseQn"":26,""incDecQty"":""2"",""qnMain"":""14"",""baseMaintainedQty"":22}]"
24,TORQUE WRENCH,IN-TELE-STD-001,P,CGT,10,12,"[{""no"":""001"",""qn"":""10"",""qtyHeld"":""12"",""location"":""Reserved Room1""}]"
27,AD HYDRAULIC PUMP001,IN-TELE-STD-001,LP,CGT,30,34,"[{""no"":""001"",""qn"":18,""qtyHeld"":""16"",""location"":""RACK-A"",""qnMain"":23,""baseQn"":18,""baseMaintainedQty"":23,""incDecQty"":""""},{""no"":""002"",""qn"":12,""qtyHeld"":""18"",""location"":""RACK-B"",""qnMain"":17,""baseQn"":12,""baseMaintainedQty"":17,""incDecQty"":""""}]"
46,A SPARE,G54H545H5J,R,BGT,94,45,"[{""no"":""001"",""qn"":94,""qnMain"":99,""qtyHeld"":45,""location"":""Reserved Room1"",""baseQn"":91,""incDecQty"":""3"",""maintainedQty"":"""",""baseMaintainedQty"":96}]"
54,A STOCK 125,IN-TELE-STD-001,LP,BGT,35,9,"[{""no"":""R152"",""qn"":35,""qnMain"":21,""qtyHeld"":""9"",""location"":""RACK ABC"",""baseQn"":31,""baseMaintainedQty"":21,""incDecQty"":""4""}]"
60,SPARE 25_2026,IN-TELE-STD-001,P,CGT,42,21,"[{""no"":""R00126"",""qn"":17,""qnMain"":22,""qtyHeld"":5,""location"":""FWD SPTA"",""baseQn"":12,""baseMaintainedQty"":17,""incDecQty"":""5""},{""no"":""R0253"",""qn"":25,""qnMain"":25,""qtyHeld"":16,""location"":""RACK-A"",""baseQn"":18,""baseMaintainedQty"":18,""incDecQty"":""7""}]"
61,D787 NO,KUUYO,P,CGT,35,27,"[{""no"":""R200"",""qn"":20,""qnMain"":20,""qtyHeld"":10,""location"":""FWD SPTA"",""baseQn"":17,""baseMaintainedQty"":17,""incDecQty"":""3""},{""no"":""R255"",""qn"":22,""qnMain"":22,""qtyHeld"":17,""location"":""AER Workshop"",""baseQn"":18,""baseMaintainedQty"":18,""incDecQty"":""4""}]"
